season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22448979591836735,0.2879,0.81,0.0,16
0.0,0.0,0.0,0.043478260869565216,0.0,1.0,0.0,0.0,0.20408163265306123,0.2727,0.8,0.0,40
0.0,0.0,0.0,0.08695652173913043,0.0,1.0,0.0,0.0,0.20408163265306123,0.2727,0.8,0.0,32
0.0,0.0,0.0,0.13043478260869565,0.0,1.0,0.0,0.0,0.22448979591836735,0.2879,0.75,0.0,13
0.0,0.0,0.0,0.17391304347826086,0.0,1.0,0.0,0.0,0.22448979591836735,0.2879,0.75,0.0,1
0.0,0.0,0.0,0.21739130434782608,0.0,1.0,0.0,0.3333333333333333,0.22448979591836735,0.2576,0.75,0.10532502644880687,1
0.0,0.0,0.0,0.2608695652173913,0.0,1.0,0.0,0.0,0.20408163265306123,0.2727,0.8,0.0,2
0.0,0.0,0.0,0.30434782608695654,0.0,1.0,0.0,0.0,0.1836734693877551,0.2576,0.86,0.0,3
0.0,0.0,0.0,0.34782608695652173,0.0,1.0,0.0,0.0,0.22448979591836735,0.2879,0.75,0.0,8
0.0,0.0,0.0,0.3913043478260869,0.0,1.0,0.0,0.0,0.30612244897959184,0.3485,0.76,0.0,14
0.0,0.0,0.0,0.43478260869565216,0.0,1.0,0.0,0.0,0.36734693877551017,0.3939,0.76,0.298224991183731,36
0.0,0.0,0.0,0.4782608695652174,0.0,1.0,0.0,0.0,0.3469387755102041,0.3333,0.81,0.33337251675091106,56
0.0,0.0,0.0,0.5217391304347826,0.0,1.0,0.0,0.0,0.4081632653061224,0.4242,0.77,0.33337251675091106,84
0.0,0.0,0.0,0.5652173913043478,0.0,1.0,0.0,0.3333333333333333,0.4489795918367347,0.4545,0.72,0.3508875044081345,94
0.0,0.0,0.0,0.6086956521739131,0.0,1.0,0.0,0.3333333333333333,0.4489795918367347,0.4545,0.72,0.33337251675091106,106
0.0,0.0,0.0,0.6521739130434783,0.0,1.0,0.0,0.3333333333333333,0.42857142857142855,0.4394,0.77,0.3508875044081345,110
0.0,0.0,0.0,0.6956521739130435,0.0,1.0,0.0,0.3333333333333333,0.4081632653061224,0.4242,0.82,0.3508875044081345,93
0.0,0.0,0.0,0.7391304347826086,0.0,1.0,0.0,0.3333333333333333,0.42857142857142855,0.4394,0.82,0.33337251675091106,67
0.0,0.0,0.0,0.7826086956521738,0.0,1.0,0.0,0.6666666666666667,0.4081632653061224,0.4242,0.88,0.298224991183731,35
0.0,0.0,0.0,0.8260869565217391,0.0,1.0,0.0,0.6666666666666667,0.4081632653061224,0.4242,0.88,0.298224991183731,37
0.0,0.0,0.0,0.8695652173913043,0.0,1.0,0.0,0.3333333333333333,0.3877551020408163,0.4091,0.87,0.298224991183731,36
0.0,0.0,0.0,0.9130434782608695,0.0,1.0,0.0,0.3333333333333333,0.3877551020408163,0.4091,0.87,0.22804749030210417,34
0.0,0.0,0.0,0.9565217391304348,0.0,1.0,0.0,0.3333333333333333,0.3877551020408163,0.4091,0.94,0.2631950158692841,28
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.4489795918367347,0.4545,0.88,0.3508875044081345,39
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4489795918367347,0.4545,0.88,0.3508875044081345,17
0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.4394,0.94,0.298224991183731,17
0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.3333333333333333,0.4081632653061224,0.4242,1.0,0.33337251675091106,9
0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.3333333333333333,0.4489795918367347,0.4545,0.94,0.22804749030210417,6
0.0,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.3333333333333333,0.4489795918367347,0.4545,0.94,0.22804749030210417,3
0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.6666666666666667,0.4081632653061224,0.4242,0.77,0.3508875044081345,2
0.0,0.0,0.0,0.30434782608695654,0.0,0.0,0.0,0.3333333333333333,0.3877551020408163,0.4091,0.76,0.22804749030210417,1
0.0,0.0,0.0,0.34782608695652173,0.0,0.0,0.0,0.6666666666666667,0.3877551020408163,0.4091,0.71,0.2631950158692841,8
0.0,0.0,0.0,0.3913043478260869,0.0,0.0,0.0,0.3333333333333333,0.36734693877551017,0.3939,0.76,0.2631950158692841,20
0.0,0.0,0.0,0.43478260869565216,0.0,0.0,0.0,0.3333333333333333,0.3469387755102041,0.3485,0.81,0.2631950158692841,53
0.0,0.0,0.0,0.4782608695652174,0.0,0.0,0.0,0.3333333333333333,0.3469387755102041,0.3333,0.71,0.298224991183731,70
0.0,0.0,0.0,0.5217391304347826,0.0,0.0,0.0,0.3333333333333333,0.3469387755102041,0.3333,0.66,0.3508875044081345,93
0.0,0.0,0.0,0.5652173913043478,0.0,0.0,0.0,0.3333333333333333,0.3469387755102041,0.3485,0.66,0.15786998942047725,75
0.0,0.0,0.0,0.6086956521739131,0.0,0.0,0.0,0.6666666666666667,0.3469387755102041,0.3485,0.76,0.22804749030210417,59
0.0,0.0,0.0,0.6521739130434783,0.0,0.0,0.0,0.6666666666666667,0.326530612244898,0.3333,0.81,0.19301751498765723,74
