,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,last_modification,have_basement
0,0.3333333333333333,0.1875,0.07365223993925588,0.006775461539894558,0.20000000000000007,0.0,0.0,0.5,0.10730088495575221,0.0,0.48245614035088025,0.9955312810327706,0.3364279398762157,0.8372093023255813,0.8157894736842105,0.0,0.9210526315789487,false
1,0.5555555555555556,0.3125,0.24905087319665908,0.007835466383501929,0.4,0.0,1.0,1.0,0.33185840707964603,0.058091286307053944,0.18421052631579116,0.0,0.8618479221927497,0.813953488372093,0.763157894736842,0.0,0.18421052631579116,true
2,0.3333333333333333,0.25,0.1184510250569476,0.010533914566217703,0.0,0.0,0.0,0.75,0.17256637168141592,0.0,0.5789473684210549,0.0,0.5064102564102564,0.41860465116279066,0.3421052631578947,0.0,0.5789473684210549,false
3,0.3333333333333333,0.28125,0.12376613515565679,0.006885374168669312,0.0,0.0,0.0,0.75,0.06969026548672566,0.20746887966804978,0.5526315789473699,0.0,0.9423076923076923,0.06976744186046512,0.09210526315789473,0.0,0.5526315789473699,true
4,0.4444444444444444,0.3125,0.11921032649962035,0.009186087669293392,0.0,0.0,0.0,0.75,0.08517699115044247,0.16597510373443983,0.6666666666666679,0.9890764647467726,0.9619805481874447,0.7209302325581395,0.40789473684210525,0.0,0.8070175438596507,true
5,0.2222222222222222,0.125,0.03872437357630979,0.005348460291734198,0.0,0.0,0.0,0.5,0.05641592920353982,0.0,0.3333333333333357,0.9900695134061569,0.7782935455349248,0.813953488372093,0.7105263157894737,0.0,0.824561403508774,false
6,0.2222222222222222,0.25,0.07441154138192863,0.0017902718008904787,0.0,0.0,0.0,0.5,0.1084070796460177,0.0,0.6666666666666679,0.0,0.5053050397877984,0.7209302325581395,0.40789473684210525,0.0,0.6666666666666679,false
7,0.4444444444444444,0.3125,0.1776765375854214,0.032815439929953984,0.4,0.0,0.0,0.5,0.2588495575221239,0.0,0.7807017543859658,0.0,0.4504862953138815,0.4883720930232558,0.3026315789473684,0.0,0.7807017543859658,false
8,0.3333333333333333,0.3125,0.15641609719058466,0.08177126995659383,0.0,0.0,0.0,0.75,0.1327433628318584,0.17842323651452283,0.7456140350877192,0.0,0.7446949602122016,0.627906976744186,0.35526315789473684,0.0,0.7456140350877192,true
9,0.4444444444444444,0.25,0.08731966590736523,0.005180796959704912,0.20000000000000007,0.0,0.0,0.5,0.12721238938053095,0.0,0.3947368421052637,0.9980139026812314,0.850132625994695,0.813953488372093,0.7105263157894737,0.0,0.9649122807017569,false
10,0.3333333333333333,0.21875,0.1017463933181473,0.0062240354701093535,0.0,0.0,0.0,0.5,0.1482300884955752,0.0,0.4210526315789487,0.9900695134061569,0.9969053934571176,0.46511627906976744,0.881578947368421,0.0,0.824561403508774,false
11,0.4444444444444444,0.3125,0.19362186788154898,0.0031315784571247602,0.20000000000000007,0.0,0.0,1.0,0.17035398230088494,0.2095435684647303,0.07894736842105488,0.9870903674280039,0.668656056587091,0.813953488372093,0.631578947368421,0.0,0.7719298245614041,true
12,0.3333333333333333,0.21875,0.14882308276385725,0.013277072970807952,0.0,0.0,0.0,0.5,0.17699115044247787,0.07468879668049792,0.7017543859649145,0.0,0.3255968169761273,0.7674418604651163,0.5526315789473684,0.0,0.7017543859649145,true
13,0.3333333333333333,0.125,0.054669703872437365,0.005399690754298701,0.0,0.0,0.0,0.75,0.07964601769911503,0.0,0.48245614035088025,0.9975173783515392,0.48099027409372236,0.813953488372093,0.6447368421052632,0.0,0.9561403508771953,false
14,0.5555555555555556,0.34375,0.19286256643887623,0.008235995454460777,0.20000000000000007,0.0,0.0,0.5,0.2809734513274336,0.0,0.34210526315789735,0.977656405163853,0.642130857648099,0.813953488372093,0.631578947368421,0.0,0.6052631578947398,false
